HPI,Fips,datetime,HPI_inf
541.07,23,2018-10-01,543.3401539951128
544.85,23,2019-01-01,544.800133454406
558.22,23,2019-04-01,553.6087737046
565.32,23,2019-07-01,556.0567668049486
573.1,23,2019-10-01,559.078469862399
238.25,24,2000-01-01,375.11457831325305
240.81,24,2000-04-01,374.8546849315069
245.25,24,2000-07-01,375.7241500586167
249.06,24,2000-10-01,379.1166080372744
254.79,24,2001-01-01,382.4923285468122
259.78,24,2001-04-01,387.0929350057012
266.65,24,2001-07-01,392.4079054054054
270.96,24,2001-10-01,400.78158234295415
277.73,24,2002-01-01,408.713472972973
286.86,24,2002-04-01,417.6809448467967
295.78,24,2002-07-01,426.62837086092713
301.82,24,2002-10-01,434.8603925027563
307.6,24,2003-01-01,441.0001974766868
314.25,24,2003-04-01,446.1291689299294
323.81,24,2003-07-01,455.25003550295855
341.35,24,2003-10-01,480.42668820678523
350.84,24,2004-01-01,492.1929275362318
367.3,24,2004-04-01,509.54101910828024
394.3,24,2004-07-01,539.8336720796229
407.82,24,2004-10-01,558.0514931937173
425.99,24,2005-01-01,580.4835578727841
451.78,24,2005-04-01,607.3931111111111
475.21,24,2005-07-01,631.7440773143438
494.35,24,2005-10-01,651.2263911290323
507.94,24,2006-01-01,663.775992
518.36,24,2006-04-01,671.6835379276154
525.35,24,2006-07-01,670.7644162188569
532.19,24,2006-10-01,680.4950019569472
533.88,24,2007-01-01,677.1663995884635
534.91,24,2007-04-01,670.3913264058386
527.15,24,2007-07-01,652.0825989417189
524.24,24,2007-10-01,650.2834177341352
516.21,24,2008-01-01,635.6676542093063
498.4,24,2008-04-01,606.1790869747313
478.17,24,2008-07-01,569.0747743727517
470.95,24,2008-10-01,566.2240929603511
466.36,24,2009-01-01,561.8815902050451
448.21,24,2009-04-01,539.5215939132116
437.05,24,2009-07-01,523.7746199876195
429.43,24,2009-10-01,518.1422303473493
426.17,24,2010-01-01,515.8448127822161
420.89,24,2010-04-01,509.7536140279335
426.33,24,2010-07-01,513.3022941274024
422.21,24,2010-10-01,510.63769366034245
409.53,24,2011-01-01,493.84172114847814
401.46,24,2011-04-01,481.5287015663076
407.51,24,2011-07-01,483.6162811606049
409.32,24,2011-10-01,485.96732595008586
403.46,24,2012-01-01,477.56303344580056
399.52,24,2012-04-01,471.0285327631472
404.95,24,2012-07-01,473.93707571333897
406.43,24,2012-10-01,474.8357001090708
406.49,24,2013-01-01,472.6198959028427
410.21,24,2013-04-01,474.4209181099714
412.02,24,2013-07-01,471.5315543800958
412.52,24,2013-10-01,472.1285818130862
413.77,24,2014-01-01,469.6638836772983
420.52,24,2014-04-01,474.37343680537276
423.17,24,2014-07-01,471.6908463588869
